"record_id","dataset_id","parent_event_id","eventid","sector_id","station_number","station_id","event_datetime","decimal_latitude","verbatim_longitude","decimal_longitude","geodetic_datum","measurement_id_ctd","ctd_cast","depth_m","benne_remplissage","sampling_effort_m2","material_sample_id_mo","material_sample_id_granulo","material_sample_id_biodiv","nbr_pots_biodiv","material_sample_id_pigments_1","material_sample_id_pigments_2","material_sample_id_pigments_3","replicats_pigments_1","replicats_pigments_2","replicats_pigments_3","unique_tube_pigments_1","unique_tube_pigments_2","unique_tube_pigments_3","material_sample_id_selenoneine","comments","terrain_complete"
17,"sag-endo","sag-endo-2023","sag-endo-2023-bassin_inferieur-15","bassin_inferieur",15,"bassin_inferieur-15","2023-07-06 16:18:30","48.17433","69.86819"," -69.86819","EPSG:4326","sag-endo-2023-bassin_inferieur-15-ctd",,75,20,"0.108","sag-endo-2023-bassin_inferieur-15-mo","sag-endo-2023-bassin_inferieur-15-granulo","sag-endo-2023-bassin_inferieur-15-biodiv",,"sag-endo-2023-bassin_inferieur-15-pigments-1","sag-endo-2023-bassin_inferieur-15-pigments-2","sag-endo-2023-bassin_inferieur-15-pigments-3",1,2,3,19,20,21,,"Grosse roches. 3 bennew. A voir ce qu9n fwit average.",0
18,," -2023"," -2023-bassin_inferieur-16","bassin_inferieur",16,"bassin_inferieur-16",,"48.19297","69.87685"," -69.87685",," -2023-bassin_inferieur-16-ctd",,,,"0.108"," -2023-bassin_inferieur-16-mo"," -2023-bassin_inferieur-16-granulo"," -2023-bassin_inferieur-16-biodiv",," -2023-bassin_inferieur-16-pigments-1"," -2023-bassin_inferieur-16-pigments-2"," -2023-bassin_inferieur-16-pigments-3",,,,,,,,,0
19,," -2023"," -2023-bassin_inferieur-19","bassin_inferieur",19,"bassin_inferieur-19",,"48.18585","69.88182"," -69.88182",," -2023-bassin_inferieur-19-ctd",,,,"0.108"," -2023-bassin_inferieur-19-mo"," -2023-bassin_inferieur-19-granulo"," -2023-bassin_inferieur-19-biodiv",," -2023-bassin_inferieur-19-pigments-1"," -2023-bassin_inferieur-19-pigments-2"," -2023-bassin_inferieur-19-pigments-3",,,,,,,,,0
20,"sag-endo","sag-endo-2023","sag-endo-2023-bassin_inferieur-20","bassin_inferieur",20,"bassin_inferieur-20","2023-07-06 15:17:25","48.15769","69.84922"," -69.84922","EPSG:4326","sag-endo-2023-bassin_inferieur-20-ctd",,139,10,"0.108","sag-endo-2023-bassin_inferieur-20-mo","sag-endo-2023-bassin_inferieur-20-granulo","sag-endo-2023-bassin_inferieur-20-biodiv",,"sag-endo-2023-bassin_inferieur-20-pigments-1","sag-endo-2023-bassin_inferieur-20-pigments-2","sag-endo-2023-bassin_inferieur-20-pigments-3",1,2,3,16,17,18,,"3e essaie",0
21,," -2023"," -2023-bassin_intermediaire-1","bassin_intermediaire",1,"bassin_intermediaire-1",,"48.2302","69.89433"," -69.89433",," -2023-bassin_intermediaire-1-ctd",,,,"0.108"," -2023-bassin_intermediaire-1-mo"," -2023-bassin_intermediaire-1-granulo"," -2023-bassin_intermediaire-1-biodiv",," -2023-bassin_intermediaire-1-pigments-1"," -2023-bassin_intermediaire-1-pigments-2"," -2023-bassin_intermediaire-1-pigments-3",,,,,,,,,0
22,," -2023"," -2023-bassin_intermediaire-2","bassin_intermediaire",2,"bassin_intermediaire-2",,"48.22254","69.9025"," -69.9025",," -2023-bassin_intermediaire-2-ctd",,,,"0.108"," -2023-bassin_intermediaire-2-mo"," -2023-bassin_intermediaire-2-granulo"," -2023-bassin_intermediaire-2-biodiv",," -2023-bassin_intermediaire-2-pigments-1"," -2023-bassin_intermediaire-2-pigments-2"," -2023-bassin_intermediaire-2-pigments-3",,,,,,,,,0
23,," -2023"," -2023-bassin_intermediaire-4","bassin_intermediaire",4,"bassin_intermediaire-4",,"48.2369","69.97602"," -69.97602",," -2023-bassin_intermediaire-4-ctd",,,,"0.108"," -2023-bassin_intermediaire-4-mo"," -2023-bassin_intermediaire-4-granulo"," -2023-bassin_intermediaire-4-biodiv",," -2023-bassin_intermediaire-4-pigments-1"," -2023-bassin_intermediaire-4-pigments-2"," -2023-bassin_intermediaire-4-pigments-3",,,,,,,,,0
24,"sag-endo","sag-endo-2023","sag-endo-2023-bassin_intermediaire-6","bassin_intermediaire",6,"bassin_intermediaire-6","2023-07-07 09:57:37","48.23761","69.96533"," -69.96533","EPSG:4326","sag-endo-2023-bassin_intermediaire-6-ctd",,154,95,"0.108","sag-endo-2023-bassin_intermediaire-6-mo","sag-endo-2023-bassin_intermediaire-6-granulo","sag-endo-2023-bassin_intermediaire-6-biodiv",,"sag-endo-2023-bassin_intermediaire-6-pigments-1","sag-endo-2023-bassin_intermediaire-6-pigments-2","sag-endo-2023-bassin_intermediaire-6-pigments-3",1,2,3,22,23,24,"Se037","Sable, echelle Beaufort 4",0
25,," -2023"," -2023-bassin_intermediaire-7","bassin_intermediaire",7,"bassin_intermediaire-7",,"48.23014","69.96585"," -69.96585",," -2023-bassin_intermediaire-7-ctd",,,,"0.108"," -2023-bassin_intermediaire-7-mo"," -2023-bassin_intermediaire-7-granulo"," -2023-bassin_intermediaire-7-biodiv",," -2023-bassin_intermediaire-7-pigments-1"," -2023-bassin_intermediaire-7-pigments-2"," -2023-bassin_intermediaire-7-pigments-3",,,,,,,,,0
26,"sag-endo","sag-endo-2023","sag-endo-2023-bassin_intermediaire-8","bassin_intermediaire",8,"bassin_intermediaire-8","2023-07-07 14:59:19","48.22860","69.93304"," -69.93304","EPSG:4326","sag-endo-2023-bassin_intermediaire-8-ctd",,144,100,"0.108","sag-endo-2023-bassin_intermediaire-8-mo","sag-endo-2023-bassin_intermediaire-8-granulo","sag-endo-2023-bassin_intermediaire-8-biodiv",,"sag-endo-2023-bassin_intermediaire-8-pigments-1","sag-endo-2023-bassin_intermediaire-8-pigments-2","sag-endo-2023-bassin_intermediaire-8-pigments-3",1,2,3,28,29,30,"Se033",,0
